,1,0
 GO:0006165,2,1
 GO:0042134,2,0
 GO:0019953,2,0
 GO:0032964,2,0
 GO:0032967,2,0
 GO:0002084,1,0
 GO:0005839,10,0
 GO:0002262,1,0
 GO:0005833,1,0
 GO:0045727,10,0
 GO:0002062,2,0
 GO:0061333,1,0
 GO:1990357,2,0
 GO:0048812,3,0
 GO:0046581,1,0
 GO:0021772,1,0
 GO:0005496,1,0
 GO:0032580,2,0
 GO:0032587,7,0
 GO:0080111,1,0
 GO:0033989,1,0
 GO:0046903,2,0
 GO:0046907,1,0
 GO:0018206,2,0
 GO:0004722,1,0
 GO:0004721,2,0
 GO:0045907,5,0
 GO:0030325,1,0
 GO:0030324,3,0
 GO:1902188,1,0
 GO:0060009,1,0
 GO:0006611,1,0
 GO:0046632,1,0
 GO:0034679,1,0
 GO:0061024,3,0
 GO:0061025,2,0
 GO:0050921,1,0
 GO:0042311,2,0
 GO:0042645,2,0
 GO:0061028,4,0
 GO:0034629,2,0
 GO:0042641,2,0
 GO:0045214,4,1
 GO:0045340,1,0
 GO:0050709,1,0
 GO:0015992,2,0
 GO:0015991,2,0
 GO:0019897,2,0
 GO:0009611,5,0
 GO:1904115,1,0
GO:0031252,1,0
 GO:2001235,1,0
 GO:0030027,14,1
 GO:2000232,1,0
GO:0030673,1,0
 GO:0030182,1,0
 GO:2001046,1,0
 GO:0034677,1,0
 GO:0010812,3,0
 GO:0060314,1,0
 GO:0014009,1,0
 GO:0010039,1,0
 GO:0014002,4,0
 GO:0014003,1,0
 GO:1903561,8,0
 GO:0050632,1,0
 GO:0010033,5,0
 GO:0090036,1,0
 GO:0032367,1,0
 GO:0032366,1,0
 GO:0039702,2,0
 GO:0032364,1,0
 GO:0044183,1,0
 GO:0070670,1,0
 GO:0070676,1,0
GO:0010008,1,0
 GO:0060178,1,0
 GO:2000521,1,0
 GO:0048306,5,1
 GO:0060170,1,0
 GO:0035372,1,0
 GO:0035374,1,0
 GO:0032780,3,0
 GO:0045581,1,0
 GO:0032088,4,2
 GO:0031053,1,0
 GO:2001135,1,0
 GO:0001664,3,0
 GO:0061077,5,0
 GO:0001666,8,1
 GO:0030050,1,0
 GO:0030057,2,1
 GO:0030056,1,0
 GO:0030507,2,0
 GO:0030506,1,0
 GO:0016787,4,0
 GO:0090148,1,0
 GO:0032266,1,0
 GO:0090141,2,1
 GO:0000281,5,0
 GO:0045766,4,0
 GO:2000429,1,0
 GO:2000427,1,0
 GO:0007626,2,0
 GO:0007625,1,0
 GO:0007623,2,0
 GO:0036276,1,0
 GO:0031581,1,0
 GO:0034698,2,0
 GO:0036477,1,0
 GO:0071310,1,0
 GO:0034389,1,0
 GO:0007399,3,0
 GO:0036292,1,0
 GO:0033690,1,0
 GO:0033691,1,0
